Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs,Eval_Mode
463,422.73,0.632,0.69,5.48,,,,
464,403.86,0.569,0.65,4.69,,,,
465,427.13,0.653,0.7,5.61,,,,
466,442.47,0.7,0.73,5.86,,,,
467,415.31,0.624,0.68,5.37,,,,
468,415.0,0.613,0.68,5.14,,,,
469,388.49,0.558,0.63,4.4,,,,
470,421.03,0.605,0.68,5.33,,,,
471,435.36,0.643,0.71,5.78,,,,
472,441.24,0.624,0.7,5.35,,,,
473,410.86,0.576,0.66,4.98,,,,
474,401.73,0.574,0.65,4.98,,,,
475,386.42,0.551,0.63,4.59,424.12,0.62,5.46,fixed
476,424.22,0.601,0.68,5.11,,,,
477,417.86,0.614,0.68,5.52,,,,
478,441.65,0.629,0.7,5.39,,,,
479,408.59,0.608,0.67,5.05,,,,
480,416.28,0.655,0.69,5.54,,,,
481,398.75,0.552,0.64,4.86,,,,
482,415.14,0.591,0.67,5.18,,,,
483,414.67,0.685,0.71,5.73,,,,
484,406.87,0.577,0.66,5.08,,,,
485,411.7,0.595,0.67,5.04,,,,
486,454.17,0.661,0.73,5.84,,,,
487,424.82,0.669,0.71,5.84,,,,
488,446.48,0.674,0.73,5.97,,,,
489,422.97,0.682,0.71,5.78,,,,
490,446.47,0.641,0.71,5.84,,,,
491,432.65,0.659,0.71,5.63,,,,
492,443.12,0.669,0.72,5.96,,,,
493,433.59,0.652,0.71,5.7,,,,
494,443.39,0.657,0.72,5.74,,,,
495,449.31,0.668,0.73,5.8,,,,
496,436.16,0.674,0.72,5.85,,,,
497,451.21,0.683,0.73,5.85,,,,
498,429.78,0.673,0.71,5.86,,,,
499,445.54,0.646,0.71,5.56,,,,
500,432.4,0.647,0.7,5.76,429.37,0.638,5.48,fixed
