Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs
571,485.97,0.651,0.83,5.99,,,
572,494.85,0.656,0.83,5.95,,,
573,498.15,0.661,0.84,5.99,,,
574,483.26,0.646,0.81,5.87,,,
575,486.97,0.64,0.81,5.82,,,
576,482.3,0.636,0.8,5.78,,,
577,481.27,0.639,0.82,5.93,,,
578,478.23,0.632,0.79,5.68,,,
579,477.75,0.635,0.79,5.68,,,
580,466.26,0.605,0.76,5.48,,,
581,480.64,0.637,0.82,5.95,,,
582,465.78,0.623,0.8,5.88,,,
583,482.27,0.645,0.82,5.9,,,
584,486.42,0.641,0.81,5.79,,,
585,485.33,0.644,0.83,5.99,,,
586,494.28,0.655,0.83,5.97,,,
587,482.55,0.652,0.83,6.0,,,
588,488.0,0.65,0.83,5.98,,,
589,459.63,0.615,0.8,6.0,,,
590,467.57,0.6,0.76,5.43,,,
591,485.36,0.649,0.83,5.99,,,
592,475.09,0.637,0.82,5.97,,,
593,486.78,0.643,0.82,5.93,,,
594,463.68,0.609,0.8,5.98,,,
595,487.77,0.653,0.83,5.99,,,
596,498.74,0.66,0.84,5.99,,,
597,485.48,0.645,0.83,5.98,,,
598,480.92,0.65,0.83,6.0,,,
599,489.38,0.638,0.83,5.99,,,
600,493.02,0.649,0.83,5.99,428.05,0.665,5.91
601,457.47,0.575,0.73,5.27,,,
602,484.22,0.644,0.83,6.0,,,
603,496.84,0.659,0.84,5.99,,,
604,457.01,0.575,0.73,5.28,,,
605,480.6,0.629,0.82,5.99,,,
606,481.05,0.638,0.82,5.96,,,
607,478.68,0.627,0.82,5.99,,,
608,441.93,0.539,0.7,5.13,,,
609,470.68,0.624,0.81,5.98,,,
610,485.85,0.636,0.82,5.94,,,
611,477.72,0.617,0.77,5.48,,,
612,469.68,0.625,0.81,5.98,,,
613,477.12,0.635,0.82,5.99,,,
614,474.96,0.632,0.82,6.0,,,
615,482.77,0.64,0.81,5.84,,,
616,468.79,0.605,0.73,5.07,,,
617,482.52,0.618,0.77,5.36,,,
